title,language,issn,issn2
international journal of advanced studies in economics and public sector management,Text in English,2354-421X,2354-4228
international journal of advanced studies in engineering and scientific inventions,Text in English,2354-4171,2354-418X
international journal of advances in scientific research and reviews,Text in English,2360-9338,NA
international journal of agricultural research and reviews,Text in English,2360-7971,NA
international journal of agricultural research sustainability and food sufficiency,Text in English,2360-932X,NA
international journal of arts and humanities,Text in English,2360-7998,NA
international journal of business and law research,Text in English,2360-8986,NA
international journal of comparative studies in international relations and development,Text in English,2354-4198,2354-4201
international journal of health safety and environment,Text in English,2360-9311,NA
international journal of innovative scientific and engineering technology research,Text in English,2360-896X,NA
international journal of innovative social and sciences education research,Text in English,2360-8978,NA
international research journal of public and environmental health,Text in English,2360-8803,NA
journal of agricultural economics extension and rural development,Text in English,2360-798X,NA
learned journal of science agriculture and engineering,Text in English,2360-8250,NA
sky journal of educational research,NA,2354-4406,NA
unilag journal of basic medical sciences,Text in English,2354-4368,NA
sokoto journal of social sciences,Text in English,1595-2738,2384-7654
wyno academic journal of social science,Text in English,2384-7808,NA
ijagun journal of history and diplomacy,Text in English,2408-5707,NA
ilorin journal of accounting,Text in English,2408-5375,NA
ilorin journal of science,Text in English,2408-4816,NA
kaduna journal of political science,Text in English,2408-5146,NA
nials journal of business law,Text in English,2408-4921,NA
nigerian journal of applied behavioural sciences,Text in English,2408-5413,NA
pencil publication of agricultural sciences,Text in English,2408-5545,NA
pencil publication of arts and education,Text in English,2408-5537,NA
pencil publication of biological science,Text in English,2408-5529,NA
pencil publication of medical and pharmaceutical sciences,Text in English,2408-5553,NA
unilag journal of humanities,Text in English,2408-5006,NA
unilag journal of medicine science and technology,Text in English,2408-5022,NA
journal of home economics research,Text in English,1118-0021,NA
the nigerian journal of parasitology,Text in English,1117-4145,NA
african journal of agricultural economics and rural development,Text in English,2375-0693,NA
african journal of agricultural marketing,Text in English,2375-1061,NA
african journal of agriculture,Text in English,2375-1134,NA
african journal of agriculture and food security,Text in English,2375-1177,NA
african journal of agronomy,Text in English,2375-1185,NA
african journal of crop science,Text in English,2375-1231,NA
african journal of dairy farming and milk production,Text in English,2375-1258,NA
african journal of environmental and waste management,Text in English,2375-1266,NA
international journal of agroforestry and silviculture,Text in English,2375-1096,NA
african journal of environmental economics and management,Text in English,2375-0707,NA
african journal of fisheries science,Text in English,2375-0715,NA
african journal of food science research,Text in English,2375-0723,NA
african journal of pig farming,Text in English,2375-0731,NA
african journal of plant breeding,Text in English,2375-074X,NA
african journal of poultry farming,Text in English,2375-0863,NA
african journal of soil science,Text in English,2375-088X,NA
african journal of tropical agriculture,Text in English,2375-091X,NA
african journal of water conservation and sustainability,Text in English,2375-0936,NA
arid zone journal of engineering technology and environment,Text in English,1596-2644,2545-5818
rwanda journal of medicine and health sciences,Text in English,2616-9819,2616-9827
rwanda medical journal,Text in French | Text in English,2079-097X,2410-8626
diapason,Text in Kinyarwanda,null,NA
universite nationale du rwanda revue scientifique du droit,Text in French | Text in Kinyarwanda | Text in English,null,NA
journal of african conflicts and peace studies,Text in English,1996-3157,2325-484X
rwandan journal of education,NA,2227-9148,2312-9239
rwanda journal of social and applied sciences,Text in French | Text in English,2310-3205,2313-6723
african journal of business and industry,Text in English,2413-3213,NA
international journal of the university of kibungo association,Text in English,2522-3275,NA
kibogora polytechnic scientific journal,Text in English,2616-7492,2616-7506
rwanda journal of engineering science technology and environment,Text in English,2617-2321,2617-233X
southern african journal of infectious diseases,Text in English,2312-0053,2313-1810
africa 2001,Text in Afrikaans | Text in English,1019-2182,NA
old testament essays,NA,1010-9919,2312-3621
tydskrif vir die suid afrikaanse reg,Text in Dutch | Text in Afrikaans | Summaries in English | Text in English,0257-7747,1996-2207
scriptura,NA,0254-1807,2305-445X
strategic review for southern africa,Text in Dutch | Text in English,1013-1108,NA
suid afrikaanse tydskrif vir natuurwetenskap en tegnologie,Text in Afrikaans | Summaries in English | Summaries in Afrikaans,0254-3486,2222-4173
southern african linguistics and applied language studies,NA,1607-3614,1727-9461
aeronautica meridiana,Summaries in English | Text in English | Summaries in Afrikaans,0257-8573,NA
journal for juridical science,Text in Afrikaans | Text in English,0258-252X,2415-0517
relational child youth care practice online,Text in English,2410-2954,NA
industrial law journal,Text in English,0258-249X,2413-9882
grace and truth,Text in English,2304-0084,NA
south african journal of agricultural extension,NA,0301-603X,2413-3221
literator,Text in French | Text in German | Text in Dutch | Text in Afrikaans | Summaries in English | Text in English,0258-2279,2219-8237
tydskrif vir taalonderrig,Text in Afrikaans | Text in English,0259-9570,NA
kronos,Text in Afrikaans | Text in English,0259-0190,2309-9585
communicare,NA,0259-0069,NA
south african journal of labour relations,Text in Afrikaans | Text in English,0379-8410,2520-3223
orion,NA,0259-191X,2224-0004
clean air journal,Text in Afrikaans | Text in English,1017-1703,2410-972X
suidafrikaanse tydskrif vir navorsing in sport liggaamlike opvoedkunde en ontspanning,Text in Afrikaans | Summaries in English | Text in English,0379-9069,NA
adler museum bulletin,Text in English,0379-6531,NA
hervormde teologiese studies,Text in German | Text in Dutch | Text in Afrikaans | Summaries in English | Text in English,0259-9422,2072-8050
verbum et ecclesia,Text in Afrikaans,1609-9982,2074-7705
south african music studies,Text in English,2223-635X,NA
southern african humanities,Text in French | Text in German | Summaries in English | Text in English,1681-5564,2305-2791
politeia,Text in English,0256-8845,NA
de jure,Text in Afrikaans | Text in English,1466-3597,2225-7160
journal of literary studies,Text in Afrikaans | Text in English,0256-4718,NA
journal of energy in southern africa print,Text in English,1021-447X,NA
the journal of medical laboratory science technology of south africa,Text in English,2664-2549,2664-2832
nomina africana,Summaries in French | Text in Afrikaans | Summaries in Dutch | Summaries in German | Summaries in English | Text in English | Summaries in Afrikaans,1012-0254,NA
southern african public law,Text in English,2219-6412,2522-6800
shakespeare in southern africa,Text in English,1011-582X,2071-7504
nidan,Text in English,1016-5320,2414-8636
south african journal of criminal justice,Text in English,1011-8527,1996-2118
pretoriana,Text in English,null,NA
psychology bulletin,Text in English,null,NA
studies in toegepaste linguistiek en literatuurwetenskap,Text in English,null,NA
communitas,Text in Afrikaans | Text in English,1023-0556,2415-0525
edge port elizabeth,Text in English,null,NA
cardiovascular journal of africa,Text in English,1995-1892,1996-3467
quaestiones mathematicae,Text in English,1607-3606,1727-933X
south african journal of higher education,Text in English,1011-3487,1753-5913
south african institute of race relations fast facts,Text in English,1019-2514,NA
curationis,Text in Afrikaans | Text in English,0379-8577,2223-6279
studi ditalianistica nellafrica australe,Text in Italian | Text in English,1012-2338,2225-7039
the southern african journal of critical care,Text in English,1562-8264,2078-676X
south african journal of psychiatry,Text in English,1608-9685,2078-6786
the south african journal of clinical nutrition,Text in English,1607-0658,2221-1268
south african journal of obstetrics and gynaecology,Text in English,0038-2329,2305-8862
unisa latin american report,Summaries in Spanish | Summaries in Portuguese | Text in English,0256-6060,NA
metamorphosis,Text in English,1018-6409,2307-5031
ur uct,Text in English,2413-0672,NA
folio,Text in English,2520-3681,NA
natalia,Text in English,null,0085-3674
studia historiae ecclesiasticae online,Text in English,2412-4265,NA
sotl in the south,Text in English,2523-1154,NA
south african journal of oncology,Text in English,2518-8704,2523-0646
african human rights yearbook,Text in French | Text in English,2523-1367,NA
aros joernaal,Text in Dutch | Text in Afrikaans,2523-1375,NA
speculum juris,Text in English,2523-2177,0584-8652
journal of neutral atmosphere,Text in English,2523-1812,NA
journal of construction project management and innovation,Text in English,2223-7852,NA
durban natural science museum novitates,Text in English,null,2522-2554
african music,Text in French | Text in English,2524-2741,0065-4019
journal of medicinal plants for economic development,Text in English,2616-4809,2519-559X
afro asian journal of science and technology,Text in English,2312-7465,NA
image text online,Text in English,2617-3255,NA
african journal of career development,Text in English,2709-7420,2617-7471
journal of local government research and innovation,Text in English,2709-7412,2788-919X
teacher education through flexible learning in africa,Text in English,2788-6298,NA
international journal of architecture and planning,Text in English,2788-5046,NA
international journal of african studies,Text in English,2710-4680,NA
international journal of languages and culture,Text in English,2788-404X,NA
international journal of cryptocurrency research,Text in English,2790-1386,NA
african journal of pharmaceutical sciences,Text in English,2789-5092,NA
international journal of political science and public administration,Text in English,2788-8983,NA
international journal of tourism and hospitality,Text in English,2709-9768,NA
international journal of pure and applied mathematics research,Text in English,2789-9160,NA
international journal of data science and big data analytics,Text in English,2710-2599,NA
african journal of humanities and social sciences,Text in English,2789-3413,NA
international journal of management research and economics,Text in English,2710-141X,NA
international journal of agricultural sciences and technology,Text in English,2710-3366,NA
international journal of education and teaching,Text in English,2788-5011,NA
international journal of artificial intelligence and machine learning,Text in English,2789-2557,NA
africanus,Text in English,0304-615X,NA
african vision and eye health,Text in English,2413-3183,2410-1516
the journal of consumer sciences,Text in English,null,NA
journal for the study of religion,Text in English,1011-7601,2413-3027
ecquid novi african journalism studies,Text in German | Text in Dutch | Text occasionally in Afrikaans | Text in Afrikaans,1942-0773,NA
critical arts,Text in English,1992-6049,NA
south african journal of education,NA,0256-0100,2076-3433
journal of northwest semitic languages,Text in German | Summaries in English | Text in English,0259-0131,NA
musicus,Text in Afrikaans | Text in English,0256-8837,NA
south african yearbook of international law,Text in English,0379-8895,2521-2583
acta criminologica,Text in English,1012-8093,NA
tydskrif vir islamkunde,Text in Afrikaans | Text in English,0257-7062,NA
stellenbosch law review,Text in English,1016-4359,1996-2193
in die skriflig,Text in Dutch | Text in Afrikaans | Summaries in English | Text in English | Summaries in Afrikaans,1018-6441,2305-0853
bestuursdinamika,Text in Afrikaans | Text in English,1019-567X,NA
context,Text in English,1015-647X,NA
focus,Text in English,null,NA
psychoanalytic psychotherapy in south africa,Text in English,1023-0548,NA
acta structilia,Text in Afrikaans | Text in English,1023-0564,2415-0487
south african statutes,Text in English,1017-1185,1682-0789
south african journal of sports medicine,Text in English,1015-5163,2078-516X
transact,Text in English,null,NA
alternation,Text in English,1023-1757,2519-5476
the south african journal of environmental law and policy,Text in English,1023-1765,2616-8499
argiefjaarboek vir suidafrikaanse geskiedenis,Text in Afrikaans | Text in English,null,NA
acta academica,Text in Afrikaans | Text in English,0587-2405,2415-0479
african plant protection,Text in English,1023-3121,2309-3811
southern african journal of anaesthesia and analgesia,Text in English,2220-1181,2220-1173
east african agricultural and forestry journal,Text in English,null,2313-450X
civil engineering,NA,null,NA
codicillus,Text in Afrikaans | Text in English,null,NA
comparative and international law journal of southern africa,Text occasionally in Portuguese | Text occasionally in French | Text occasionally in German | Text occasionally in Afrikaans | Summaries in English | Text in English,null,NA
journal of theology for southern africa,Text in English,null,NA
african historical review,Text in English,null,1753-2531
mine ventilation society of south africa journal,Text in English,null,0368-3206
onderstepoort journal of veterinary research,Text in English,null,2219-0635
south african journal of chemistry,NA,null,1996-840X
southern african institute of mining and metallurgy journal,Text in English,null,2225-6253
south african journal of science,NA,null,1996-7489
south african journal of surgery,Text in Afrikaans | Text in English,2078-5151,0038-2361
english in africa,NA,0376-8902,NA
esarbica journal,Text in English,2220-6442,2220-6450
south african journal of physiotherapy,Text in English,0379-6175,2410-8219
new contree,Text in Afrikaans | Text in English,null,NA
communicatio,Text in Afrikaans | Text in English,1753-5379,NA
journal for contemporary history,Text in English,0258-2422,2415-0509
water sa online,Text in English,1816-7950,NA
journal for studies in economics and econometrics,Text in English,0379-6205,NA
technikon forum,Text in Afrikaans | Text in English,null,NA
south african mercantile law journal,Text in Afrikaans | Text in English,1015-0099,1996-2185
south african journal of libraries and information science,NA,0256-8861,2304-8263
south african family practice,Text in English,2078-6190,2078-6204
acta juridica,Text in English,0065-1346,1996-2088
indago,NA,null,NA
veld flora,Text in Afrikaans | Text in English,0042-3203,NA
african journal of range forage science,Text in English,1022-0119,1727-9380
jlb smith institute of ichthyology ichthyological bulletin,Text in English,0251-1258,NA
koedoe,Text in English,0075-6458,2071-0771
africa insight,Text in English,0256-2804,1995-641X
south african journal of communication disorders,NA,0379-8046,2225-4765
university of stellenbosch bureau for economic research economic prospects,Text in English,0259-4862,NA
south african journal of animal science,Text in English,0375-1589,2221-4062
south african society of archivists journal,NA,null,NA
university of the north department of bantu languages communications,Text in English,0302-7481,NA
african biodiversity conservation,Text in English,2311-4207,2311-9284
cabo,Text in English,0379-4830,NA
south african historical journal,Text in English,0258-2473,1726-1686
neotestamentica,Text in English,0254-8356,NA
african journal of marine science,Text in English,1814-232X,1814-2338
obiter,Text in Afrikaans | Text in English,1682-5853,2709-555X
vulture news,Text in English,1606-7479,NA
africana society journal,Text in Afrikaans | Text in English,null,NA
agenda abingdon,Text in English,null,NA
the aviator,Text in English,null,NA
social work,Text in Afrikaans | Summaries in English | Text in English,2312-7198,0037-8054
mousaion,Text in Afrikaans | Text in English,null,0027-2639
annual survey of south african law,Text in English,0376-4605,NA
south african journal of economic and management sciences,Text in English,1015-8812,2222-3436
southern african journal of gerontology,Text in English,1019-8016,NA
african journal on conflict resolution,Text in English,1562-6997,2309-737X
ostrich,Abstracts occasionally in Afrikaans | Text in English,1727-947X,0030-6525
south african journal of geology,NA,1996-8590,1012-0750
african journal of wildlife research,NA,2410-8200,2410-7220
sa banker,Text in English,null,NA
african journal of aids research,Text in English,1608-5906,1727-9445
south african journal of business management,NA,2078-5585,2078-5976
astronomical society of southern africa monthly notes,Text in English,0024-8266,2224-8366
new contrast,Text in Afrikaans | Text in English,1017-5415,NA
africa education review,Text in Afrikaans | Text in English,1814-6627,1753-5921
yesterday and today,Text in English,2223-0386,2309-9003
missionalia southern african journal of missiology,Text in English,0256-9507,2312-878X
journal of endocrinology metabolism and diabetes of south africa,Text in English,1608-9677,2220-1009
south african institution of civil engineering journal,Text in Multiple languages,1021-2019,2309-8775
south african journal of radiology,Text in English,1027-202X,2078-6778
acta theologica,Text in Afrikaans | Summaries in English | Text in English,1015-8758,2309-9089
historia,NA,null,2309-8392
african journal of aquatic science,NA,1727-9364,1608-5914
african entomology,NA,null,1021-3589
stellenbosch papers in linguistics,Text in English,1027-3417,2223-9936
south african journal of enology and viticulture,Text in English,0253-939X,2224-7904
southern forests,Text in English,2070-2639,2070-2620
south african journal of information management,Text in English,1560-683X,2078-1865
ergonomics sa,Text in English,1010-2728,NA
innovation,Text in English,null,NA
indilinga,Text in English,1683-0296,NA
health sa,Text in Multiple languages,1025-9848,NA
health sa gesondheid online,Text in Multiple languages,2071-9736,NA
south african journal of industrial engineering,Text in English,1012-277X,2224-7890
sa journal of industrial psychology,Text in English,0258-5200,2071-0763
south african actuarial journal,Text in English,1680-2179,NA
acta commercii,Text in English,2413-1903,1684-1999
african journal for physical health education recreation and dance,Text in English,1117-4315,NA
current allergy clinical immunology,Text in English,1609-3607,NA
south african computer journal online,Text in English,2313-7835,NA
transformation,Text in English,0258-7696,1726-1368
centre for business law transactions,Text in English,null,NA
african human rights law journal,Text in English,1609-073X,1996-2096
university of stellenbosch bureau for economic research building and construction,Text in English,null,0258-9265
south african gastroenterology review,Text in English,1812-1659,NA
akroterion,Text in Afrikaans | Text in English,2079-2883,0303-1896
tydskrif vir letterkunde,Text in Dutch | Text in Afrikaans | Text in English,2309-9070,0041-476X
the south african radiographer,Text in English,0258-0241,2224-8900
journal for semitics,Text in Multiple languages,1013-8471,NA
etude de la population africaine,Text in French | Text in English,0850-5780,2308-7854
practical theology in south africa,Text in Afrikaans | Text in English,1010-8017,NA
sa crime quarterly,Text in English,1991-3877,2413-3108
lexikos,Text in French | Text in German | Text in Dutch | Text in Afrikaans | Text in English,1684-4904,2224-0039
per linguam,Text in Afrikaans | Text in English,0259-2312,2224-0012
southern african journal of hiv medicine,Text in English,1608-9693,2078-6751
mindshift,Text in English,1816-7748,NA
international journal of computers systems and signals,Text in English,1608-5655,NA
indo pacific journal of phenomenology,Text in English,2079-7222,1445-7377
la revue francaise,Text in French,1562-0859,NA
southern african journal of demography,Text in English,1682-4482,NA
south african law journal,Text in English,1996-2177,0258-2503
paidonomia,Text in Multiple languages,0377-8576,NA
greenprint,Text in English,1817-9355,NA
leading brands,Text in English,1818-975X,NA
the journal for transdisciplinary research in southern africa,Text in Multiple languages,1817-4434,2415-2005
crime research in south africa,Text in English,1605-5810,NA
primus,Text in English,1991-2153,NA
jutas insurance law bulletin,Text in English,1029-3302,2517-9543
interim,Text in English,1684-498X,NA
commonwealth youth and development,Text in English,1727-7140,NA
slavic almanac,Text in English,null,NA
the south african law reports,NA,1682-0762,0038-2396
ingede,Text in English,1815-3933,NA
skills at work,Text in English,1815-3666,NA
journal of contemporary management,Text in English,1815-7440,NA
critical dialogue,Text in English,1726-8494,NA
postamble,Text in English,1817-0862,NA
the judicial officer,Text in English,1029-6026,NA
african journal of business ethics,Text in English,1817-7417,0976-3600
afring news online,Text in English,2222-341X,NA
journal for new generation science,Text in English,1684-4998,NA
southern african business review online,Text in English,1998-8125,NA
south african journal of child health,Text in English,1994-3032,1999-7671
aloe,Text in English,0002-6301,NA
de arte,Text in Afrikaans | Text in English,null,NA
colleges of medicine of south africa transactions,NA,2221-7126,NA
de rebus,Text occasionally in Afrikaans | Text in English,0250-0329,NA
south african dental journal,NA,1029-4864,2519-0105
language matters,Text in Afrikaans | Text in English,1022-8195,1753-5395
jewish tradition,Text in English,null,NA
jewish affairs,Text in English,0021-6313,2224-7874
koers,Text in Afrikaans | Summaries in English | Text in English | Summaries in Afrikaans,0023-270X,NA
stellenbosch theological journal,Text in Afrikaans | Text in English,2413-9459,2413-9467
saapam,Text in Afrikaans | Summaries in English | Text in English,null,NA
south african archaeological bulletin,Text in English,0038-1969,2224-4654
the south african journal of diabetes and vascular disease,Text in English,1811-6515,NA
africa journal of nursing and midwifery,Text in English,1682-5055,2520-5293
african chiroptera,Text in English,1990-6471,NA
potchefstroom electronic law journal,Text in Dutch | Text in Afrikaans | Text in English,1727-3781,NA
journal for the renewal of religion and theology,Text in English,1834-3627,NA
jamba,Text in English,1996-1421,2072-845X
african yearbook on international humanitarian law,Text in English,1997-8391,2521-2621
south african statistical journal,Text in Afrikaans | Summaries in English | Text in English,1996-8450,0038-271X
malawi law journal,Text in English,1996-7675,NA
management perspectives,Text in English,1996-7187,NA
global media journal african edition,Text in English,2073-2740,NA
samj south african medical journal,Text in English,2078-5135,0256-9574
journal of pain sa,Text in English,1998-2062,NA
sa journal of human resource management,Text in Multiple languages,1683-7584,2071-078X
journal of transport and supply chain management,Text in English,1995-5235,2310-8789
pretoria student law review,Text in English,1998-0280,NA
south african journal of bioethics and law,Text in English,1999-7639,NA
law democracy and development online,Text in English,2077-4907,NA
annual review of islam in south africa,Text in English,null,NA
african journal of primary health care family medicine,Text in English,2071-2928,2071-2936
africa research journal,Text in English,1991-1696,NA
south african journal of occupational therapy,Text in English,0038-2337,2310-3833
sa pharmaceutical journal incorporating pharmacy management,Text in Afrikaans | Text in English,2221-5875,2220-1017
south african veterinary association journal,Text in English,1019-9128,2224-9435
perspectives in education,NA,0258-2236,2519-593X
tydskrif vir geesteswetenskappe,Summaries in French | Text in Afrikaans | Summaries in German | Summaries in English,0041-4751,2224-7912
scrutiny2,Text in English,1753-5409,NA
sa heart journal,Text in English,1996-6741,2071-4602
wound healing,Text in English,1998-8885,2076-8893
professional nursing today,Text in English,1607-6672,2220-1076
southern african journal of gynaecological oncology,Text in English,2074-2835,2220-105X
african journal of health professions education,Text in English,2078-5127,NA
psychology in society,Text in English,1015-6046,2309-8708
sa orthopaedic journal,Text in English,1681-150X,2309-8309
scientia militaria,Text in English,2309-9682,2224-0020
journal of counselling and development in higher education southern africa,Text in English,2225-420X,NA
ornithological observations,Text in English,2219-0341,NA
journal for development support,Text in English,1993-5889,2079-4053
imbizo,Text in English,2078-9785,NA
isiphethu solwazi,Text in English,2078-7545,NA
usb leaders lab,Text in English,2074-2894,NA
constitutional court review,Text in English,2073-6215,2521-5183
the sa rural educator,Text in English,2225-4544,NA
journal of education,Text in English,0259-479X,2520-9868
african journal of disability,Text in English,2226-7220,2223-9170
african journal of laboratory medicine,Text in English,2225-2010,2225-2002
journal of southern african adventism,Text in English,2304-5280,NA
african yearbook of rhetoric,Text in Afrikaans | Text in English,2305-7785,2220-2188
reading and writing,Text in English,2079-8245,2308-1422
africa nazarene university law journal,Text in English,2308-1325,2521-2613
south african intellectual property law journal,Text in English,2309-4532,2521-2591
african evaluation journal,Text in English,2310-4988,2306-5133
africas public service delivery and peformance review,Text in English,2310-2195,2310-2152
journal of student affairs in africa,Text in English,2307-6267,2311-1771
applied animal husbandry rural development,Text in English,2312-8747,NA
r d journal online,Text in English,2309-8988,NA
inkanyiso,Text in English,2077-2815,2077-8317
research in hospitality management,Text in English,2224-3534,2415-5152
south african journal of childhood education,Text in English,2223-7674,2223-7682
african journal of hospitality tourism and leisure,Text in English,2223-814X,NA
pythagoras,Text in English,1012-2346,2223-7895
educational research for social change,Text in English,2221-4070,NA
international journal of biotechnology,Text in English,2221-6766,NA
the african journal of information and communication,Text in English,2077-7205,2077-7213
inkundla,Text in English,2227-0817,NA
african journal of thoracic and critical care medicine,Text in English,2617-0191,2617-0205
journal of african real estate research,Text in English,2304-8395,NA
international journal of advanced engineering and global technology,Text in English,2309-4893,NA
critical studies in teaching and learning,Text in English,2310-7103,NA
journal of business and public dynamics for development,Text in English,2305-9338,NA
african disability rights yearbook,Text in English,2311-8970,2413-7138
journal of economic and financial sciences,Text in English,1995-7076,2312-2803
ghanaian journal of economics,Text in English,2309-8945,NA
transdisciplinary ejournal,Text in English,2312-7147,NA
fire journal of medical and pharmaceutical sciences,Text in English,2409-4722,NA
african human mobility review,Text in English,2410-7972,NA
multilingual margins,Text in English,2221-4216,NA
journal of innovation and research in health sciences and biotechnology,Text in French | Text in English,2413-7669,NA
pharos journal of theology,Text in English,2414-3324,NA
journal of ocean law and governance in africa,Text in English,2414-8253,2521-5442
town and regional planning,Text in Afrikaans | Text in English,1012-280X,2415-0495
journal of insulin resistance,Text in English,2412-2785,2519-7533
transformation in higher education,Text in English,2519-5638,2415-0991
african journal of nephrology,Text in English,2306-8205,2518-4601
tinabantu,Text in English,2518-8550,NA
africa journal of comparative constitutional law,Text in English,2519-5603,2521-5434
african journal of built environment research,Text in English,2414-0236,NA
the journal of independent teaching and learning,Text in English,1818-9687,2519-5670
south african dance journal,Text in English,2223-8425,NA
african perspectives of research in teaching and learning,Text in English,2521-0262,NA
journal of creativity innovation and social entrepreneurship,Text in English,2521-0270,NA
journal of construction business and management,Text in English,2521-0165,NA
biomath,Text in English,1314-684X,1314-7218
african journal of biological sciences,Text in English,2663-2187,NA
the southern african journal of entrepreneurship and small business management,Text in Afrikaans | Text in English,2522-7343,2071-3185
african journal of distance education,Text in English,2070-8130,NA
journal of development and leadership,Text in English,2226-0102,NA
international society for telemedicine and ehealth journal,Text in English,2308-0310,NA
palaeontologia africana online,Text in English,2410-4418,NA
international journal of chemical material and environmental research,Text in English,2410-5945,NA
african public procurement law journal,Text in English,2411-7048,NA
fundamina,Text in English,1021-545X,2411-7870
journal of leadership and management studies,Text in English,2313-1055,NA
southern african journal of environmental education,Text in English,0256-7504,2411-5959
gender questions,Text in English,2309-9704,2412-8457
oral history journal of south africa,Text in English,2309-5792,NA
journal of energy in southern africa online,Text in English,2413-3051,NA
phronimon,Text in Afrikaans | Text in Greek | Text in English,1561-4018,2413-3086
the african journal for workbased learning,Text in English,2412-7302,2415-5055
die maatskaplikewerknavorserpraktisyn,Text in Afrikaans | Text in English,1011-2324,NA
the social work practitionerresearcher online,Text in Afrikaans | Text in English,2415-5829,NA
journal of geography education for southern africa,Text in English,2517-9861,NA
african journal for physical activity and health sciences,Text in English,2411-6939,NA
business social science journal,Text in English,2518-4598,2518-4555
zoe international journal of social transformation,Text in English,2520-9345,NA
journal of law society and development,Text in English,2313-8289,2520-9515
journal of public administration and development alternatives,Text in English,2415-5446,NA
journal of comparative law in africa,Text in French | Text in English,2311-6889,2521-2605
international journal of african higher education,Text in English,2313-5069,NA
accounting perspectives in southern africa,Text in English,2521-2710,NA
journal of business sciences,Text in English,2521-5302,NA
the journal of anticorruption law,Text in English,2521-5345,NA
african journal of pedagogy and curriculum,Text in English,2309-4648,NA
journal of african political economy and development,Text in English,2518-847X,NA
international journal of current aspects,Text in English,2616-6976,NA
global health innovation,Text in English,2617-1155,NA
african journal of psychological assessment,Text in English,2617-2798,NA
african journal of intermultidisciplinary studies,Text in English,2663-4589,2663-4597
theologia viatorum,Text in English,0378-4142,2664-2980
african social science and humanities journal,Text in English,2709-1309,2709-1317
psychopathologie africaine,NA,0033-314X,NA
dakar medical,Text in French,0850-797X,NA
african environment,Text in French | Text in English,1010-5522,NA
africa development,Text in French | Text in English,0850-3907,NA
african sociological review,NA,1027-4332,NA
codesria bulletin,Text in French | Text in English,0850-8712,NA
african journal of international affairs,Text in French | Text in English,0850-7902,NA
phelsuma,Text in English,1026-5023,NA
environnement africain,Text in French | Text in English,0850-8518,NA
identity culture and politics,Text in French | Text in English,0851-2914,NA
european journal of scientific research,Text in English,1450-216X,NA
the european journal of economics finance and administrative sciences,Text in English,1450-2275,NA
the european journal of social sciences,Text in English,1450-2267,NA
international research journal of finance and economics,Text in English,1450-2887,NA
etudes germano africaines,Text in French | Text occasionally in German | Text occasionally in English,0850-640X,NA
journal of higher education in africa,Text in English,0851-7762,NA
journal des sciences pour lingenieur,Text in French,null,NA
sierra leone journal of medical research,Text in English,2076-6270,2219-3170
african journal of tropical hydrobiology and fisheries,Text in French | Text in English,0002-0036,NA
zambia law journal,Text in English,1027-7862,NA
zambia journal of education,Text in English,1996-3645,NA
sudan medical journal,Text in English,0491-4481,1858-814X
mulika,Text in French | Text in German | Text in Swahili | Text in English,0856-0129,2546-2202
zambia museums journal,Text in English,1682-7570,NA
journal of science and technology,Text in English,1027-4928,NA
zango,Text in English,null,NA
zambian papers,Text in English,1028-2351,NA
east and central african journal of surgery,NA,1024-297X,NA
tanzania journal of science,Text in English,0856-1761,2507-7961
tanzania journal of engineering and technology,Text in English,1821-536X,2619-8789
universite de lome annales serie science,Summaries in French | Text in French | Summaries in English,null,NA
journal of african religion and philosophy,Text in English,1018-8592,NA
revue tunisienne de communication,Text in French | Text in Arabic | Text in English,0330-8480,NA
university of dar es salaam library journal,Text in English,0856-1818,NA
african crop science journal,Text in English,1021-9730,NA
african journal of finance and management,Text in English,0856-6372,NA
east african journal of peace and human rights,Text in English,1021-8858,NA
notes du service geologique de tunisie,Text in French,0496-456X,NA
taamuli,Text in English,null,NA
uongozi journal of management development,Text in English,null,NA
ahfad journal,Summaries in Arabic | Text in English,null,NA
tanzania journal of health research,Text in English,1821-6404,1821-9241
african health sciences,Text in English,1680-6905,1729-0503
universite de lome journal de la recherche scientifique,Text in French,null,NA
microbiologie hygiene alimentaire,Text in Multiple languages,0330-8030,NA
revue des regions arides,Text in French,0330-7956,NA
dental journal of zambia,Text in English,1010-7339,NA
african technology development forum journal,Text in English,1817-2008,NA
huria,Text in English,0856-6739,NA
magallat dirasat andalusiyyat,Text in Spanish | Text in French | Text in Arabic,0330-7549,NA
international journal of computing and information and communication technology research,Text in English,1818-1139,1996-1065
kiu journal of social sciences,Text in English,2413-9580,2519-0474
east african journal of public health,Text in English,0856-8960,NA
health policy and development,Text in English,1728-6107,NA
the african journal of business and law,Text in English,1997-1494,NA
sudanese journal of public health,Text in Arabic | Text in English,1990-7567,NA
sudanese journal of dermatology,Text in English,1815-3941,NA
journal tunisien do rl de chirurgie cervico faciale et daudiophonologie,Text in French,1737-7803,NA
institut pasteur de tunis archives,Text in French,0020-2509,NA
la tunisie medicale,Summaries in French | Text in French | Summaries in Arabic | Summaries in English,0041-4131,NA
eastern africa law review,Text in English,0012-8678,NA
kiswahili,Text in French | Text in German | Text in Swahili | Text in English,0856-048X,2546-2229
inrternational journal of modern anthropology,Text in English,1737-7374,1737-8176
dar es salaam medical students journal,Text in English,null,NA
south sudan medical journal,Text in English,2309-4605,NA
