title;research_area;country;issn;issn2
quaestiones mathematicae;mathematics;south africa;1607-3606;1727-933X
quarterly journal of administration;public administration;nigeria;null;0001-8333
quellen zur geschichte des islamischen aegyptens;religions and theology - islamic;egypt arab republic of egypt;0481-0023;NA
r d journal online;engineering - mechanical engineering;south africa;2309-8988;NA
reading and writing;education;south africa;2079-8245;2308-1422
recherche et culture;social sciences: comprehensive works;madagascar;null;NA
recherches darcheologie de philologie et dhistoire;archaeology linguistics asian studies;egypt arab republic of egypt;1011-1883;NA
recherches et applications en finance islamique;business and economics - banking and finance religions and theology - islamic;morocco;2509-0224;NA
recueil de mecanique;engineering - mechanical engineering energy;algeria;2507-7589;2507-7619
recursions;sociology;namibia;null;NA
regional journal of information and knowledge management;library and information sciences computers - information science and information theory;kenya;2412-6535;NA
register development research projects africa;business and economics - international development and assistance;senegal;0850-4008;NA
relational child youth care practice online;children and youth (about) social services and welfare;south africa;2410-2954;NA
religion in malawi;religions and theology;malawi;null;NA
remise;biology - microbiology;morocco;2028-0351;NA
reperes et perspectives economiques;business and economics business and economics - management;morocco;2509-0399;NA
research in applied mathematics;mathematics;egypt arab republic of egypt;2357-0474;2357-0482
research in hospitality management;hotels and restaurants business and economics - management;south africa;2224-3534;2415-5152
research in oncology;medical sciences - oncology;egypt arab republic of egypt;2357-0687;2357-0695
research in pharmaceutical biotechnology;pharmacy and pharmacology biology - biotechnology;nigeria;2141-2324;NA
research in yoruba language literature;linguistics literature;nigeria;1115-4322;NA
research journal in engineering and applied sciences;engineering;nigeria;null;2276-8467
research journal in organisational psychology and educational studies;education psychology;nigeria;null;2276-8475
research journal of educational studies and review;education;nigeria;2449-1837;NA
research journal of engineering and technology;engineering;nigeria;2467-8775;NA
research journal of food science and nutrition;food and food industries;nigeria;2536-7080;NA
research journal of humanities and cultural studies;humanities: comprehensive works;nigeria;2695-2467;2579-0528
research journal of international studies;political science social sciences: comprehensive works;seychelles;null;NA
research journal of mass communication and information technology;sociology;nigeria;2695-2475;2545-529X
research journal of peace and conflict studies;political science - international relations sociology;nigeria;2276-8416;NA
research journal of pure science and technology;sciences: comprehensive works;nigeria;2695-2696;2579-0536
research programme on human resources development research monograph;business and economics - personnel management occupations and careers;south africa;1816-4226;NA
reserve bank of malawi financial and economic review;business and economics - banking and finance business and economics - economic situation and conditions;malawi;0376-5725;NA
restorica;architecture;south africa;0037-5462;NA
review of management financial studies;business and economics - banking and finance business and economics - management;nigeria;null;NA
review of southern african studies;art social sciences: comprehensive works;lesotho;1024-4190;NA
revista angolana de ciencias;humanities: comprehensive works social sciences: comprehensive works;angola;2664-259X;NA
revista angolana de extensao universitaria;education - adult education;angola;2707-5400;NA
revista cientifica de uem serie ciencias agronimicas florestais e veterinarias;agriculture veterinary science;mozambique;2411-0760;NA
revista cientifica do isctac;sciences: comprehensive works;mozambique;2519-7207;NA
revista comunicacao e sociedade;sociology;mozambique;2519-7339;2519-7347
revista medica de mocambique;public health and safety;mozambique;0254-5705;NA
revista mocambicana de ciencias de saude;medical sciences;mozambique;2311-3308;NA
revista orbita pedagogica;education;angola;2409-0131;NA
revue africaine de management;business and economics - management;morocco;2335-9811;NA
revue africaine de theologie;religions and theology - roman catholic;congo democratic republic of;1016-2461;NA
revue agricole et sucriere de maurice;agriculture - crop production and soil;mauritius;0370-3576;NA
revue algerienne de physique;physics;algeria;1112-8224;NA
revue alijtihed;business and economics law;algeria;2335-1039;2437-0754
revue burkinabe de droit;law political science;burkina faso;0773-8439;NA
revue de droit economie politique;business and economics law;egypt arab republic of egypt;null;NA
revue de geographie du maroc;geography;morocco;0035-1156;NA
revue de iinformation scientifique et technique;education sciences: comprehensive works;algeria;1111-0015;2571-9947
revue des bio ressources;sciences: comprehensive works;algeria;2170-1806;NA
revue des energies renouvelables;energy;algeria;1112-2242;2716-8247
revue des etudes mutidisciplinaires en sciences economiques et sociales;public administration;morocco;2489-2068;NA
revue des langues cultures et societes;linguistics;morocco;2550-651X;NA
revue des regions arides;earth sciences - geology geography;tunisia;0330-7956;NA
revue des sciences humaines;humanities: comprehensive works;algeria;1112-3176;NA
revue des sciences juridiques et administratives;law;algeria;1112-4334;NA
revue des sciences sociales et humaines;humanities: comprehensive works sociology;algeria;2170-1121;NA
revue dhistoire et de civilisation du maghreb;history - history of africa;algeria;1111-1755;NA
revue dhistoire maghrebine;history - history of africa;tunisia;0330-8987;NA
revue dhistoire mediterraneenne;history - history of the near east;algeria;2716-764X;2716-7747
revue economie gestion et societe;business and economics;morocco;2458-6250;NA
revue el bahith;business and economics;algeria;1112-3613;NA
revue internationale du marketing et management strategique;business and economics - marketing and purchasing;morocco;2665-7341;NA
revue juridique du zaire;law law - judicial systems;congo democratic republic of;0258-5332;NA
revue malienne dinfectiologie et de microbiologie;biology - microbiology medical sciences;malawi;1987-0876;NA
revue marocaine de lentrepreneuriat de linnovation et du management;business and economics - management;morocco;2509-0429;NA
revue marocaine de recherche en management et marketing;business and economics - marketing and purchasing;morocco;2028-5175;2458-665X
revue marocaine des sciences agronomiques et veterinaires;agriculture veterinary science;morocco;2028-991X;NA
revue medicale des grandlacs;medical sciences;congo;2304-0149;2304-0173
revue roa iktissadia;business and economics;algeria;2253-0088;NA
revue tunisienne de communication;communications journalism;tunisia;0330-8480;NA
revue tunisienne de geographie;geography;tunisia;0330-9924;NA
revue tunisienne detudes hispaniques;history - history of europe history - history of north and south america linguistics literature;tunisia;2286-5977;NA
revue zairoise de psychologie et de pedagogie;education psychology;congo democratic republic of;null;NA
rhodes today;college and alumni;south africa;null;NA
roster of africa social scientists;social services and welfare business and economics - international development and assistance;senegal;null;NA
rtap;public administration;tunisia;0330-9932;NA
rural planning journal;housing and urban planning;tanzania united republic of;0856-3462;2507-7848
rwanda journal of engineering science technology and environment;engineering;rwanda;2617-2321;2617-233X
rwanda journal of medicine and health sciences;anthropology history - history of africa;rwanda;2616-9819;2616-9827
rwanda journal of social and applied sciences;social sciences: comprehensive works;rwanda;2310-3205;2313-6723
rwanda medical journal;medical sciences;rwanda;2079-097X;2410-8626
rwandan journal of education;education;rwanda;2227-9148;2312-9239
sa banker;business and economics - banking and finance;south africa;null;0038-2000
sa crime quarterly;criminology and law enforcement;south africa;1991-3877;2413-3108
sa heart journal;medical sciences - cardiovascular diseases;south africa;1996-6741;2071-4602
sa journal of food science and nutrition;food and food industries nutrition and dietetics;south africa;1013-3666;NA
sa journal of human resource management;business and economics - personnel management;south africa;1683-7584;2071-078X
sa journal of industrial psychology;psychology;south africa;0258-5200;2071-0763
sa orthopaedic journal;medical sciences - orthopedics and traumatology;south africa;1681-150X;2309-8309
sa pharmaceutical journal incorporating pharmacy management;pharmacy and pharmacology;south africa;2221-5875;2220-1017
saapam;public administration;south africa;null;NA
sahaif aljamiyyat alramadiyyat almisriyyat;medical sciences - ophthalmology and optometry;egypt arab republic of egypt;0078-5342;NA
saiwa;literature;nigeria;0795-2864;NA
samaru journal of agricultural education;agriculture;nigeria;0794-7860;NA
samaru journal of agricultural research;agriculture;nigeria;0331-7285;NA
samaru miscellaneous papers;agriculture;nigeria;0080-5769;NA
samaru research bulletin;agriculture;nigeria;0080-5777;NA
samj south african medical journal;medical sciences;south africa;2078-5135;0256-9574
samsa journal of pure and applicable mathematics;mathematics;lesotho;1993-8594;NA
sanaa;art sociology;tanzania united republic of;2507-7775;NA
sanbi biodiversity series;sciences: comprehensive works;south africa;2521-7925;NA
sapientiae;sciences: comprehensive works social sciences: comprehensive works;angola;2183-5063;2184-061X
sash;political science - civil rights;south africa;0036-4843;NA
sau journal of management and social sciences;business and economics - management;nigeria;2550-7303;NA
savanna;environmental studies social sciences: comprehensive works;nigeria;0331-0523;NA
scholarly journal of agricultural science;agriculture;nigeria;2276-7118;NA
sciafric journal of educational research and learning techniques;education - higher education;kenya;2410-6488;NA
sciafric journal of scientific issues research and essays;sciences: comprehensive works;kenya;2311-6188;NA
science journal of agricultural research and management;agriculture;nigeria;2276-8572;NA
science journal of biochemistry;biology - biochemistry;nigeria;2276-6294;NA
science journal of biotechnology;biology - biotechnology;nigeria;2276-6375;NA
science journal of business management;business and economics - management;nigeria;2276-6316;NA
science journal of chemical engineering research;engineering - chemical engineering;nigeria;2276-7509;NA
science journal of civil engineering and architecture;engineering - civil engineering;nigeria;2276-6332;NA
science journal of economics;business and economics;nigeria;2276-6286;NA
science journal of electrical and electronic engineering;engineering - electrical engineering;nigeria;2276-6340;NA
science journal of environmental engineering research;environmental studies;nigeria;2276-7495;NA
science journal of mathematics and statistics;mathematics statistics;nigeria;2276-6324;NA
science journal of medicine and clinical trials;medical sciences;nigeria;2276-7487;NA
science journal of microbiology;biology - microbiology;nigeria;2276-626X;NA
science journal of physics;physics;nigeria;2276-6367;NA
science journal of psychology;psychology;nigeria;2276-6278;NA
science journal of pure and applied chemistry;chemistry;nigeria;2276-6308;NA
science journal of sociology and anthropology;anthropology sociology;nigeria;2276-6359;NA
science technology and arts research journal;art sciences: comprehensive works technology: comprehensive works;ethiopia;2226-7522;2305-3372
science world journal;sciences: comprehensive works;nigeria;1597-6343;NA
scientia militaria;military;south africa;2309-9682;2224-0020
scientific journal of arab academy for science technology maritime transport;sciences: comprehensive works transportation - ships and shipping;egypt arab republic of egypt;null;NA
scientific medical journal;medical sciences;egypt arab republic of egypt;1110-5607;2090-2409
scientific research and essays;sciences: comprehensive works;nigeria;1992-2248;NA
scientific research journal of clinical and medical sciences;medical sciences;kenya;2788-8843;2788-8851
scientific research journal of review of public administration and management;public administration;kenya;2788-8827;2788-8835
scientific research journal of sciences;sciences: comprehensive works;nigeria;null;NA
scopus;biology - ornithology;kenya;0250-4162;2313-1799
scriptura;religions and theology - protestant;south africa;0254-1807;2305-445X
scrutiny2;literature;south africa;1753-5409;NA
scsr journal of agribusiness;agriculture;nigeria;2384-5325;NA
scsr journal of agricultural sciences;agriculture;nigeria;2360-9885;NA
scsr journal of business and entrepreneurship;business and economics - management;nigeria;2360-9893;NA
scsr journal of development;sociology;nigeria;2384-5341;NA
scsr journal of management and marketing;business and economics - management;nigeria;2384-535X;NA
scsr journal of social sciences and humanities;humanities: comprehensive works social sciences: comprehensive works;nigeria;2360-9877;NA
second order;philosophy;nigeria;0048-9964;NA
sedimentology of egypt;earth sciences - geology;egypt arab republic of egypt;1110-2527;NA
senegal centre de recherche oceanographique document scientifique;biology earth sciences - oceanography;senegal;0850-1602;NA
serket;biology - entomology;egypt arab republic of egypt;1110-502X;NA
service des antiquites de legypte annales;archaeology;egypt arab republic of egypt;1687-1510;NA
service geologique de lalgerie bulletin;earth sciences - geology geography;algeria;1111-1305;NA
shakespeare in southern africa;literature theater;south africa;1011-582X;2071-7504
shedet;archaeology;egypt arab republic of egypt;2356-8704;2536-9954
sidney haughton memorial lectures;paleontology;south africa;null;NA
sierra leone agricultural journal;agriculture;sierra leone;null;NA
sierra leone geographical journal;geography;sierra leone;0583-239X;NA
sierra leone journal of medical research;biology medical sciences;sierra leone;2076-6270;2219-3170
sierra leone medical and dental association journal;medical sciences medical sciences - dentistry;sierra leone;0253-8482;NA
sierra leone outlook;business and economics - economic situation and conditions;sierra leone;null;NA
sinet;sciences: comprehensive works;ethiopia;0379-2897;2520-7997
skills at work;business and economics - labor and industrial relations;south africa;1815-3666;NA
sky guide africa south;astronomy;south africa;null;NA
sky journal of agricultural research;agriculture;nigeria;2315-8751;NA
sky journal of business administrative and management research;business and economics - management;nigeria;2315-8778;NA
sky journal of educational research;education;nigeria;2354-4406;NA
sky journal of medicinal plant research;biology - botany;nigeria;2315-8786;NA
sky journal of medicine and medical science;medical sciences;nigeria;2315-8808;NA
sky journal of microbiological research;biology - microbiology;nigeria;2315-876X;NA
sky journal of soil science and environmental management;agriculture - crop production and soil;nigeria;2315-8794;NA
slavic almanac;literature;south africa;null;NA
smithiana bulletin;biology - zoology;south africa;1684-4130;NA
smithiana monograph;biology - zoology;south africa;1813-7458;NA
smithiana special publication;biology - zoology;south africa;1684-4149;1811-3303
social sciences journal of policy review and development strategies;political science;nigeria;2488-9636;2488-9628
social work;social services and welfare;south africa;2312-7198;0037-8054
societe algerienne de chimie journal;chemistry;algeria;1111-4797;NA
societe darcheologie copte bulletin;archaeology religions and theology - eastern orthodox;egypt arab republic of egypt;null;NA
societe marocaine dophtalmologie journal;medical sciences - ophthalmology and optometry;morocco;2550-3987;2658-851X
societe ouestafricaine de chimie journal;chemistry;burkina faso;0796-6687;NA
society for peace studies and practice journal;political science - international relations;nigeria;2360-9427;NA
society of malawi journal;sciences: comprehensive works;malawi;0037-993X;NA
sohag engineering journal;engineering;egypt arab republic of egypt;2735-5888;2735-5896
sohag medical journal;medical sciences;egypt arab republic of egypt;1687-8353;NA
sokoto journal of medical laboratory science;medical sciences - experimental medicine laboratory technique;nigeria;2536-7153;NA
sokoto journal of social sciences;social sciences: comprehensive works;nigeria;1595-2738;2384-7654
sokoto journal of veterinary sciences;veterinary science;nigeria;1595-093X;2315-6201
solar energy and sustainable development;energy - solar energy;libyan arab jamahiriya;2414-6013;NA
sols africains;agriculture - crop production and soil;nigeria;0038-1209;NA
sospoly journal of arts and social science;art social sciences: comprehensive works;nigeria;2536-717X;NA
sospoly journal of engineering entrepreneurship and environmental studies;environmental studies engineering;nigeria;2536-7188;NA
sospoly journal of science and agriculture;agriculture sciences: comprehensive works;nigeria;2536-7161;NA
sotl in the south;education;south africa;2523-1154;NA
south africa council for geoscience handbook;earth sciences - geology;south africa;null;NA
south africa council for geoscience memoir;earth sciences - geology;south africa;1681-6099;NA
south africa council for geoscience south african committee for stratigraphy biostratigraphic series;earth sciences - geology;south africa;null;NA
south africa council for geoscience south african committee for stratigraphy catalogue of south african lithostratigraphic units;earth sciences - geology;south africa;1019-1879;NA
south africa council for geoscience south african committee for stratigraphy chronostratigraphic series;earth sciences - geology;south africa;1018-0206;NA
south africa council for geoscience south african committee for stratigraphy circular;earth sciences - geology;south africa;1017-5571;NA
south africa council for geoscience south african committee for stratigraphy lithostratigraphic series;earth sciences - geology;south africa;1017-1436;NA
south africa geological survey contributions to engineering geology;earth sciences - geology;south africa;null;NA
south africa geological survey open file reports;earth sciences - geology;south africa;null;NA
south africa international;political science;south africa;0015-5055;NA
south african acoustics institute journal;physics - sound;south africa;0259-0638;NA
south african actuarial journal;insurance;south africa;1680-2179;NA
south african archaeological bulletin;archaeology;south africa;0038-1969;2224-4654
south african archaeological society goodwin series;archaeology;south africa;0304-3460;2224-4646
south african association for marine biological research bulletin;biology fish and fisheries;south africa;0259-0050;NA
south african computer journal;computers;south africa;1015-7999;2313-7835
south african constitutional law reports;law - constitutional law;south africa;1024-4034;NA
south african dance journal;dance;south africa;2223-8425;NA
south african dental journal;medical sciences - dentistry;south africa;1029-4864;2519-0105
south african family practice;medical sciences;south africa;2078-6190;2078-6204
south african gastroenterology review;medical sciences - gastroenterology;south africa;1812-1659;NA
south african historical journal;history - history of africa;south africa;0258-2473;1726-1686
south african human rights yearbook;law political science - civil rights;south africa;1354-3903;NA
south african institute for medical research publication;biology medical sciences;south africa;null;NA
south african institute of ecologists and environmental scientists bulletin;environmental studies biology;south africa;null;NA
south african institute of race relations fast facts;political science - civil rights;south africa;1019-2514;NA
south african institution of civil engineering journal;engineering - civil engineering;south africa;1021-2019;2309-8775
south african intellectual property law journal;law;south africa;2309-4532;2521-2591
south african journal of agricultural extension;agriculture education - adult education;south africa;0301-603X;2413-3221
south african journal of animal science;agriculture - poultry and livestock veterinary science;south africa;0375-1589;2221-4062
south african journal of art and architectural history;architecture art;south africa;1018-0753;NA
south african journal of bioethics and law;biology law;south africa;1999-7639;NA
south african journal of business management;business and economics - management;south africa;2078-5585;2078-5976
south african journal of chemistry;chemistry;south africa;null;1996-840X
south african journal of child health;medical sciences - pediatrics;south africa;1994-3032;1999-7671
south african journal of childhood education;education;south africa;2223-7674;2223-7682
south african journal of communication disorders;medical sciences - otorhinolaryngology;south africa;0379-8046;2225-4765
south african journal of criminal justice;law - criminal law;south africa;1011-8527;1996-2118
south african journal of cultural history;anthropology art history - history of africa;south africa;1018-0745;NA
south african journal of dairy science;agriculture - dairying and dairy products;south africa;0258-3321;NA
south african journal of economic and management sciences;business and economics - management;south africa;1015-8812;2222-3436
south african journal of education;education;south africa;0256-0100;2076-3433
south african journal of enology and viticulture;agriculture - crop production and soil beverages;south africa;0253-939X;2224-7904
south african journal of geology;earth sciences - geology;south africa;1996-8590;1012-0750
south african journal of higher education;education - higher education;south africa;1011-3487;1753-5913
south african journal of industrial engineering;engineering - industrial engineering;south africa;1012-277X;2224-7890
south african journal of information management;business and economics - management;south africa;1560-683X;2078-1865
south african journal of labour relations;business and economics - labor and industrial relations labor unions law;south africa;0379-8410;2520-3223
south african journal of libraries and information science;library and information sciences;south africa;0256-8861;2304-8263
south african journal of music therapy;music psychology;south africa;1012-2850;NA
south african journal of obstetrics and gynaecology;medical sciences - obstetrics and gynecology;south africa;0038-2329;2305-8862
south african journal of occupational therapy;medical sciences;south africa;0038-2337;2310-3833
south african journal of oncology;medical sciences - oncology;south africa;2518-8704;2523-0646
south african journal of physics;physics;south africa;0379-4377;NA
south african journal of physiotherapy;medical sciences - physical medicine and rehabilitation;south africa;0379-6175;2410-8219
south african journal of psychiatry;medical sciences - psychiatry and neurology;south africa;1608-9685;2078-6786
south african journal of radiology;medical sciences - radiology and nuclear medicine;south africa;1027-202X;2078-6778
south african journal of science;sciences: comprehensive works;south africa;null;1996-7489
south african journal of sports medicine;medical sciences - sports medicine;south africa;1015-5163;2078-516X
south african journal of surgery;medical sciences - surgery;south africa;2078-5151;0038-2361
south african journal of surveying and geoinformation;engineering - civil engineering;south africa;1561-4026;NA
south african labour law reports;business and economics - labor and industrial relations law;south africa;1017-0618;NA
south african law journal;law;south africa;1996-2177;0258-2503
south african mercantile law journal;business and economics law;south africa;1015-0099;1996-2185
south african music studies;music;south africa;2223-635X;NA
south african research chair on innovation working papers;sciences: comprehensive works technology: comprehensive works;south africa;2410-1494;NA
south african society of archivists journal;library and information sciences;south africa;null;NA
south african society of pathologists congress brochure;medical sciences meetings and congresses;south africa;null;NA
south african statistical journal;mathematics statistics;south africa;1996-8450;0038-271X
south african statutes;law;south africa;1017-1185;1682-0789
south african sugar technologists association annual congress;agriculture - crop production and soil;south africa;1028-3781;NA
south african sugar technologists association proceedings;agriculture - crop production and soil;south africa;0373-045X;NA
south african veterinary association journal;veterinary science;south africa;1019-9128;2224-9435
south african yearbook of international affairs;political science - international relations;south africa;1026-5651;NA
south african yearbook of international law;law - international law;south africa;0379-8895;2521-2583
south sudan medical journal;medical sciences;sudan;2309-4605;2309-4613
south valley university international journal of agricultural sciences;agriculture;egypt arab republic of egypt;2636-3801;2636-381X
southern african association of geomorphologists newsletter;earth sciences - geology;south africa;null;NA
southern african business review online;business and economics;south africa;1998-8125;NA
southern african field archaeology;archaeology;south africa;1019-5785;NA
southern african humanities;archaeology;south africa;1681-5564;2305-2791
southern african institute of mining and metallurgy journal;metallurgy mines and mining industry;south africa;null;2225-6253
southern african journal of anaesthesia and analgesia;medical sciences - anaesthesiology;south africa;2220-1181;2220-1173
southern african journal of demography;population studies;south africa;1682-4482;NA
southern african journal of environmental education;environmental studies education;south africa;0256-7504;2411-5959
southern african journal of gerontology;gerontology and geriatrics;south africa;1019-8016;NA
southern african journal of gynaecological oncology;medical sciences - oncology medical sciences - obstetrics and gynecology;south africa;2074-2835;2220-105X
southern african journal of hiv medicine;medical sciences - communicable diseases;south africa;1608-9693;2078-6751
southern african journal of infectious diseases;medical sciences - dermatology and venereology;south africa;2312-0053;2313-1810
southern african journal of mathematics and science education;education mathematics;botswana;1022-4572;NA
southern african linguistics and applied language studies;linguistics;south africa;1607-3614;1727-9461
southern african public law;law;south africa;2219-6412;2522-6800
southern forests;forests and forestry;south africa;2070-2639;2070-2620
spearhead;religions and theology;kenya;null;NA
special bacterial pathogens journal;biology - microbiology medical sciences - communicable diseases;uganda;2413-600X;NA
special fungal pathogens journal;biology - microbiology medical sciences;uganda;2518-0053;NA
specialist update;medical sciences;south africa;1028-4753;NA
speculum juris;law;south africa;2523-2177;0584-8652
spil plus;linguistics;south africa;1726-541X;2224-3380
ssd discussion papers;social sciences: comprehensive works;namibia;null;NA
ssd research reports;social sciences: comprehensive works;namibia;null;NA
standard research journal of agricultural sciences;agriculture;kenya;2311-2751;NA
standard research journal of business management;business and economics - management;kenya;2310-7537;NA
standard research journal of civil and construction engineering;engineering - civil engineering housing and urban planning;kenya;2409-7322;NA
standard research journal of medicine and medical sciences;medical sciences;kenya;2409-0638;NA
standard research journal of microbiological sciences;biology - microbiology;kenya;2409-062X;NA
standard research journal of nursing and midwifery;medical sciences - nurses and nursing medical sciences - obstetrics and gynecology;kenya;2409-1790;NA
standard research journal of pharmacy and pharmacology;pharmacy and pharmacology;kenya;2410-6631;NA
standard research journal of plant sciences;biology - botany;kenya;2410-6623;NA
statesman;political science;nigeria;null;NA
statistics computer science and operation research part i mathematical statistics annual conference;business and economics - management statistics computers;egypt arab republic of egypt;2090-1755;NA
statistics computer science and operation research part ii applied statistics econometrics annual conference;business and economics statistics;egypt arab republic of egypt;2090-1763;NA
statistics computer science and operation research part iii computer sciences annual conference;computers;egypt arab republic of egypt;2090-1771;NA
statistics computer science and operation research part iv operation research annual conference;business and economics - management;egypt arab republic of egypt;2090-178X;NA
statistics computer science and operation research part v demography annual conference;population studies;egypt arab republic of egypt;2090-1798;NA
statutes of namibia;law;south africa;2306-0867;2306-6032
statutes of zimbabwe;law;south africa;1682-1033;1560-1676
stellenbosch law review;law;south africa;1016-4359;1996-2193
stellenbosch papers in linguistics;linguistics;south africa;1027-3417;2223-9936
stellenbosch theological journal;religions and theology - protestant;south africa;2413-9459;2413-9467
strategic management and innovation series;business and economics - management;south africa;2075-6593;NA
strategic review for southern africa;military political science - international relations;south africa;1013-1108;NA
strathmore law journal;law;kenya;2411-5975;2413-7162
strelitzia;biology - botany;south africa;1025-322X;NA
student;education - higher education;south africa;0258-9044;NA
student bmj south african edition;medical sciences;south africa;null;NA
studi ditalianistica nellafrica australe;history - history of europe linguistics;south africa;1012-2338;2225-7039
studia africana;history - history of africa ethnic interests;ghana;0163-2965;NA
studia historiae ecclesiasticae;religions and theology;south africa;1017-0499;2412-4265
studies in adult education;education - adult education;tanzania united republic of;0856-0560;NA
studies in toegepaste linguistiek en literatuurwetenskap;linguistics;south africa;null;NA
sud sciences et technologies;environmental studies water resources;burkina faso;0796-5419;NA
sudan engineering society journal;engineering;sudan;0585-8615;NA
sudan medical journal;medical sciences;sudan;0491-4481;NA
sudanese journal of dermatology;medical sciences - dermatology and venereology;sudan;1815-3941;NA
sudanese journal of public health;public health and safety;sudan;1990-7567;NA
suez canal university medical journal;medical sciences;egypt arab republic of egypt;1110-6999;NA
suez canal veterinary medicine journal;veterinary science;egypt arab republic of egypt;1110-6298;NA
suid afrikaanse tydskrif vir natuurwetenskap en tegnologie;sciences: comprehensive works;south africa;0254-3486;2222-4173
suidafrikaanse kultuurhistoriese museum annale;history - history of africa;south africa;1010-9226;NA
suidafrikaanse tydskrif vir navorsing in sport liggaamlike opvoedkunde en ontspanning;physical fitness and hygiene medical sciences - sports medicine leisure and recreation;south africa;0379-9069;NA
sunyani polytechnic journal;education;ghana;2508-0997;NA
sustainable human development review;environmental studies conservation;nigeria;2006-8425;2536-6912
svu international journal of medical sciences;medical sciences;egypt arab republic of egypt;2636-3402;2735-427X
svu international journal of veterinary sciences;veterinary science;egypt arab republic of egypt;2535-1826;2535-1877
swara;conservation;kenya;1018-6174;NA
synthese;earth sciences medical sciences sciences: comprehensive works;algeria;1111-4924;2352-9717
taamuli;political science;tanzania united republic of;null;0049-2817
tangaza journal of theology and mission;religions and theology;kenya;2411-233X;NA
tansian university journal of arts management and social sciences;art social sciences: comprehensive works;nigeria;2449-0334;NA
tanta medical sciences journal;medical sciences;egypt arab republic of egypt;1687-5788;1687-7918
tanzania economic review;business and economics;tanzania united republic of;2507-7740;NA
tanzania journal of agricultural sciences;agriculture;tanzania united republic of;1821-9144;NA
tanzania journal of development studies;social sciences: comprehensive works;tanzania united republic of;0856-9622;2591-6831
tanzania journal of economics;business and economics;tanzania united republic of;0856-4531;NA
tanzania journal of engineering and technology;engineering;tanzania united republic of;1821-536X;2619-8789
tanzania journal of forestry and nature conservation;conservation forests and forestry;tanzania united republic of;2408-8129;2408-8137
tanzania journal of health research;health facilities and administration medical sciences;tanzania united republic of;1821-6404;1821-9241
tanzania journal of paediatrics;medical sciences - pediatrics;tanzania united republic of;0856-311X;NA
tanzania journal of science;sciences: comprehensive works;tanzania united republic of;0856-1761;2507-7961
tanzania journal of science and technology;environmental studies sciences: comprehensive works;tanzania united republic of;2591-6742;NA
tanzania journal of sociology;sociology;tanzania united republic of;1821-9632;1821-9721
tanzania law reports online;law;south africa;1682-1041;NA
tanzania library service occasional paper;library and information sciences;tanzania united republic of;0856-1621;NA
tanzania political economy series;business and economics - labor and industrial relations;tanzania united republic of;1821-5653;NA
tanzania publishing house inaugural lecture series;political science;tanzania united republic of;null;NA
tanzanian studies;history - history of africa;tanzania united republic of;null;NA
tanzanian veterinary bulletin;veterinary science;tanzania united republic of;0856-1451;NA
tarikh;history - history of africa;nigeria;0331-5134;NA
tcnn research bulletin;religions and theology;nigeria;0794-7046;NA
teacher education through flexible learning in africa;education;south africa;2788-6298;NA
technikon forum;education - higher education;south africa;null;NA
technologies avancees;computers;algeria;1111-0902;NA
technoscience review;technology: comprehensive works;nigeria;2250-9046;2536-6920
tengeru community development journal;sociology;tanzania united republic of;1821-9853;NA
texreport;textile industries and fabrics;south africa;null;NA
textes arabes et etudes islamiques;religions and theology - islamic;egypt arab republic of egypt;0257-4136;NA
the accountant;business and economics - accounting;kenya;1010-4135;NA
the african journal for workbased learning;occupations and careers;south africa;2412-7302;2415-5055
the african journal of business and law;business and economics law;uganda;1997-1494;NA
the african journal of current medical research;medical sciences;ghana;2579-0242;NA
the african journal of information and communication;business and economics - marketing and purchasing communications;south africa;2077-7205;2077-7213
the african journal of mycology and biotechnology;environmental studies biology - biotechnology;egypt arab republic of egypt;1110-5879;NA
the african journal of technical and vocational education training;education - adult education;kenya;2415-2145;NA
the african journal of technology;technology: comprehensive works;kenya;1998-9350;2313-5549
the annals of african surgery;medical sciences - surgery;kenya;1999-9674;2523-0816
the arab journal of laboratory medicine;medical sciences - experimental medicine laboratory technique;egypt arab republic of egypt;1110-1822;NA
the aviator;aeronautics and space flight museums and art galleries;south africa;null;NA
the bioscientist;biology - biochemistry;nigeria;2630-7111;2630-7103
the botswana journal of economics;business and economics;botswana;1810-0163;NA
the caliphate journal of islamic research;religions and theology - islamic;nigeria;2360-9648;NA
the coelacanth;history - history of africa;south africa;0530-0231;NA
the developer;business and economics - international development and assistance;uganda;null;NA
the east african medical journal;medical sciences;kenya;0012-835X;NA
the east and central africa medical journal;medical sciences;kenya;2078-5909;NA
the egyptian academy of sciences proceedings;sciences: comprehensive works;egypt arab republic of egypt;1110-0532;NA
the egyptian historical review;history - history of africa;egypt arab republic of egypt;null;NA
the egyptian hospitals association bulletin;health facilities and administration;egypt arab republic of egypt;1110-6573;NA
the egyptian journal of agronematology;agriculture;egypt arab republic of egypt;1110-6158;NA
the egyptian journal of biochemistry molecular biology;biology - biochemistry;egypt arab republic of egypt;1687-1502;2090-2603
the egyptian journal of community medicine;public health and safety medical sciences;egypt arab republic of egypt;1110-1865;NA
the egyptian journal of environmental change;environmental studies;egypt arab republic of egypt;2090-2271;2090-6005
the egyptian journal of gastroenterology;medical sciences - gastroenterology;egypt arab republic of egypt;0304-4831;NA
the egyptian journal of histology print;biology - cytology and histology;egypt arab republic of egypt;1110-0559;NA
